student_id	species	park	observer	body_mass	landscape	vegetation	lion_presence	env_var	env_value
sj19031	Giraffe	Savanna Whisper Reserve	Obs_3	1160.408204678496	Flat	Dense	Present	distance_to_water_km	4.0619944352360955
sj19031	Giraffe	Savanna Whisper Reserve	Obs_3	1160.408204678496	Flat	Dense	Present	average_annual_rainfall_mm	592.5762821888156
sj19031	Giraffe	Savanna Whisper Reserve	Obs_3	1160.408204678496	Flat	Dense	Present	predator_density_per_sq_km	0.6602754675525984
sj19031	Giraffe	Golden Tusk Safari	Obs_1	1414.166285968478	Flat	Open	Present	distance_to_water_km	3.2772415092154485
sj19031	Giraffe	Golden Tusk Safari	Obs_1	1414.166285968478	Flat	Open	Present	average_annual_rainfall_mm	1054.5541577859497
sj19031	Giraffe	Golden Tusk Safari	Obs_1	1414.166285968478	Flat	Open	Present	predator_density_per_sq_km	1.7474653216592941
sj19031	Giraffe	Golden Tusk Safari	Obs_5	1073.7820180478766	Flat	Open	Absent	distance_to_water_km	1.7929525253452794
sj19031	Giraffe	Golden Tusk Safari	Obs_5	1073.7820180478766	Flat	Open	Absent	average_annual_rainfall_mm	1049.45226037554
sj19031	Giraffe	Golden Tusk Safari	Obs_5	1073.7820180478766	Flat	Open	Absent	predator_density_per_sq_km	NA
sj19031	Giraffe	Golden Tusk Safari	Obs_5	879.794132435862	Hilly	NA	Present	distance_to_water_km	7.009715254147137
sj19031	Giraffe	Golden Tusk Safari	Obs_5	879.794132435862	Hilly	NA	Present	average_annual_rainfall_mm	1109.2344062065188
sj19031	Giraffe	Golden Tusk Safari	Obs_5	879.794132435862	Hilly	NA	Present	predator_density_per_sq_km	0.2670210963616464
sj19031	Giraffe	Savanna Whisper Reserve	Obs_1	1047.2855328504338	Flat	Dense	Absent	distance_to_water_km	5.362909396741037
sj19031	Giraffe	Savanna Whisper Reserve	Obs_1	1047.2855328504338	Flat	Dense	Absent	average_annual_rainfall_mm	1165.6473142655673
sj19031	Giraffe	Savanna Whisper Reserve	Obs_1	1047.2855328504338	Flat	Dense	Absent	predator_density_per_sq_km	0.6327715152735438
